"1","Mo Pandit","90","7711525422","senior"
"2","Mahabeer Mishra","29","8283813211","normal"
"3","Asharfi Maurya","17","7210245038","normal"
"4","Kanheya Seth","45","9129443997","normal"
"5","Anjuman Tiwari","14","8924957240","normal"
"6","Bhavan Singh","49","9216179705","normal"
"7","Devraj Singh Sonkar","69","8419661221","senior"
"8","Surajsingh Rai","78","7423088195","senior"
"9","Sakeena Kumar","43","7710206443","normal"
"10","Zeel Vishwakarma","76","7492173822","senior"
"11","Dev Seth","56","8142574393","normal"
"12","Gokul Mishra","89","9941091721","senior"
"13","Krushna Chandra Rao","10","7931687351","child"
"14","Chameli Rajput","92","8236724198","senior"
"15","Mithun Kumar Tiwari","79","7238009026","senior"
"16","Balgopal Rajput","72","7020977146","senior"
"17","Roki Divedi","17","9695552974","normal"
"18","Mahipatsinh Vishwakarma","74","7798619286","senior"
"19","Sanjith Sonkar","90","8251888828","senior"
"20","Javid Gupta","22","7810598116","normal"
"21","Rejabul Mishra","23","7752618422","normal"
"22","Md Wasim Sonkar","31","8197817378","normal"
"23","Wagh Maurya","7","7166829764","child"
"24","P S Thakur","53","8315495786","normal"
"25","Gangesh Singh","42","8167956930","normal"
"26","Ramsevak Gupta","16","8582440896","normal"
"27","Shridevi Divedi","14","7550367189","normal"
"28","Rajalaxmi Maurya","86","9843710343","senior"
"29","Joydeb Thakur","20","7784252132","normal"
"30","Tabasum Rai","25","7205905325","normal"
"31","Sambasivarao Rajput","84","7625759585","senior"
"32","Mukul Kumar Vishwakarma","72","7734562636","senior"
"33","Lovish Srivastav","81","9217715191","senior"
"34","Satyaki Sonkar","20","7532572579","normal"
"35","Rojalini Kumar","30","7320372365","normal"
"36","Ravidra Pandey","92","8875074945","senior"
"37","Matu Tiwari","33","8249418494","normal"
"38","Sasidharan Gupta","79","7843514560","senior"
"39","Gorelal Pandey","16","9188450750","normal"
"40","Kirn Kumari","88","9543628677","senior"
"41","Karamvir Divedi","60","7320255858","normal"
"42","Gajadhar Thakur","23","9476658464","normal"
"43","Sonu Yadav Vishwakarma","60","8344030552","normal"
"44","Prafulla Kumar","76","8445152257","senior"
"45","Durganand Srivastav","58","9049445612","normal"
"46","Santoshkumar Sonkar","5","9943610588","child"
"47","Kathi Tiwari","16","9183357624","normal"
"48","Ashmita Sonkar","37","8510527821","normal"
"49","Sudhar Pandey","45","7433973968","normal"
"50","Susheel Kumar Pandey","51","7620585082","normal"
"51","Shahu Srivastav","27","9160890063","normal"
"52","Murlidhar Seth","14","8554679652","normal"
"53","Pilli Gupta","58","9708803761","normal"
"54","Imtayaz Rao","17","8047187835","normal"
"55","Karuppaiya Gupta","12","9993851043","normal"
"56","Bhola Kumar Seth","41","7917350743","normal"
"57","Sowji Rajput","42","8117579376","normal"
"58","Yazhini Divedi","60","8441161674","normal"
"59","Topan Seth","4","7847703513","child"
"60","Jivika Tiwari","63","9458271589","normal"
"61","Daizy Thakur","42","9573059930","normal"
"62","Md Khan Rajput","79","7741860299","senior"
"63","Murshid Pandey","83","8234531581","senior"
"64","Rakibul Vishwakarma","60","9776240391","normal"
"65","Chhattu Sonkar","68","9786104016","senior"
"66","Balwan Maurya","90","7480585269","senior"
"67","Uday Raj Yadav","52","9201325123","normal"
"68","Deepak Raj Seth","75","8812896073","senior"
"69","Biak Mishra","3","9492718839","child"
"70","Jitendr Maurrya","74","9235085412","senior"
"71","Dharu Rai","17","9969075471","normal"
"72","Seeta Rajput","88","8746162211","senior"
"73","Ujjal Pandey","9","9640889545","child"
"74","Vasani Mishra","13","9689680576","normal"
"75","Sanuj Pandey","64","9022851214","normal"
"76","Ramjanam Mishra","35","7729994148","normal"
"77","Pravesh Kumari","65","9663602792","normal"
"78","Saju Mishra","94","7994020340","senior"
"79","Kakarla Singh","52","7041990713","normal"
"80","Manasi Seth","58","8486106298","normal"
"81","Jagveer Srivastav","40","7088552795","normal"
"82","Bably Pandey","93","7797500301","senior"
"83","Sreedevi Yadav","93","9104841299","senior"
"84","Roshid Pratap","8","9227778215","child"
"85","રાહુલ Maurrya","55","7570215095","normal"
